#OK
#SQL= select bdmId, x, y, z
#	from MDR1..BDMW 
#	where snapnum = 85 
#	and Vcir > 1000.0
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-06-25 12:19:29.891 CEST
#QUERYTIME 182524 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
bdmId,x,y,z
8500244023,487.2414,24.6812,53.8468
8500250270,494.1747,102.7111,66.9666
8500252760,540.4557,54.581,74.1063
8500252816,426.3364,109.343,73.0811
8500254276,544.1404,16.2365,78.6263
8500255127,432.071,80.0432,69.9733
8500258187,535.1609,156.6883,83.7623
8500260060,436.6546,116.3411,82.9106
8500262535,520.2564,150.0171,87.4607
8500265442,494.8813,98.819,86.1968
8500265971,404.8335,112.0211,99.701
8500267299,400.0153,114.5567,102.5879
8500275042,582.2133,143.6354,114.9074
8500276949,543.5818,46.8624,123.6939
8500279336,499.4811,47.6941,125.6579
8500279554,406.2011,43.1865,123.0539
8500280846,424.837,16.1168,121.1783
8500281660,550.9792,174.3163,120.6713
8500286512,507.5278,45.0336,138.2067
8500288907,407.975,60.3378,125.5751
8500292824,430.7312,61.3754,143.226
8500293883,495.9234,30.1798,143.8616
8500294055,491.5583,151.8552,140.7356
8500295443,550.7502,53.6045,150.9789
8500300126,539.6353,129.4031,160.8664
8500312290,521.0496,192.4953,185.5367
8500314876,588.7641,116.9805,180.2676
8500317757,420.5019,93.7447,188.1881
8500317865,553.3527,176.8505,183.022
8500321968,497.3143,186.5243,196.188
8500324759,417.6075,126.9003,6.6779
8500325990,412.6566,143.5075,9.929
8500337838,657.4999,123.4138,29.5603
8500339552,658.1851,30.652,38.773
8500348026,644.8821,13.5229,49.0763
8500356014,736.2744,123.3154,65.1463
8500358440,694.3633,99.619,75.7966
8500364204,612.8789,182.44,85.2235
8500365629,705.9225,20.6875,88.7781
8500365914,703.1027,52.3022,91.0467
8500366164,698.1274,52.9326,89.264
8500367789,736.2186,47.1407,91.6164
8500370707,732.6735,46.4059,93.6386
8500372086,684.4579,105.3102,104.1876
8500374010,711.3286,52.3525,97.8652
8500379853,647.2939,78.1312,107.7275
8500383113,630.8823,83.9581,117.1371
8500385879,681.7626,92.531,124.5802
8500387793,712.5596,59.0256,122.3059
8500389464,708.7598,64.635,123.7775
8500390128,689.0025,32.309,120.1359
8500390312,635.4069,184.0697,123.9874
8505169025,995.699,956.3738,376.9882
8505171865,985.4847,989.793,380.1414
8505177636,854.5165,989.994,398.2054
8505178988,188.8214,142.8115,405.7738
8505182218,44.1193,112.4538,400.7117
8505196423,130.5558,87.1255,429.7612
8505199524,76.2529,61.9877,436.9432
8505202157,128.9954,163.8243,450.9868
8505202496,106.4898,24.0904,457.0028
8505211951,10.6501,145.1726,457.495
8505213643,83.7048,16.4766,460.9729
8505216392,131.6485,72.5244,476.3713
8505218339,48.7481,12.1561,470.8349
8505218855,137.6906,5.9638,483.0091
8505222134,141.0832,43.1347,488.6476
8505223110,4.1304,96.4953,485.1488
8505223184,122.1907,127.5905,486.8452
8505223856,120.6966,120.8156,492.7816
8505233463,135.5159,41.4704,500.5032
8505245129,137.2024,11.1089,531.0251
8505245648,77.2921,24.9036,527.338
8505254441,26.7402,117.1996,553.8026
8505255347,25.3096,197.2737,552.7126
8505264356,24.9452,132.9025,568.9255
8505271440,33.3507,126.7797,571.3336
8505272932,107.5176,117.3023,592.4233
8505276852,100.2689,117.7349,595.4467
8505278342,105.9568,108.5754,598.735
8505279626,4.3762,144.4318,586.7132
8505280689,105.7221,120.9614,596.6982
8505280718,26.1046,154.4701,597.2954
8505280961,90.83,115.7024,595.517
8505281861,98.0825,141.2175,598.8578
8505282359,29.9348,154.4772,598.3983
8505282435,25.0271,155.4283,597.5754
8505282733,212.4762,160.2088,401.3168
8505290781,200.9795,146.1881,415.0448
8505304061,289.1553,35.0366,451.0265
8505306121,314.3494,23.4315,451.0173
8505306241,301.7376,120.3503,441.9319
8505311763,247.2917,130.6599,456.3781
8505315419,308.1452,21.6117,461.5713
8505317192,287.455,21.3032,459.3549
8505317839,299.6821,166.533,469.9294
8505318298,322.7491,152.9882,466.3962
8505318375,315.626,22.1075,463.3111
8505323228,277.5995,111.5925,472.1258
8505325257,376.631,85.3692,490.7055
8505332947,358.6971,111.9183,500.0361
8505337322,332.7223,197.8909,498.9253
8501694188,231.2989,616.6362,39.2775
8501694829,242.5869,635.1066,49.4482
8501695249,205.0906,687.7699,45.5242
8501705940,320.2672,791.1246,57.9829
8501718636,311.0714,774.4308,88.7008
8501725572,258.8686,797.6293,104.6133
8501727592,212.2952,711.1691,111.8278
8501730497,269.9763,716.4692,121.3039
8501730781,271.3384,613.9363,110.2233
8501731873,241.6703,798.5951,101.0694
8501735526,319.5435,762.9292,116.4085
8501736572,289.5515,613.479,126.113
8501736658,305.1281,705.3934,131.0946
8501738136,271.9399,756.1009,122.4061
8501740120,368.7423,655.8644,128.9148
8501740857,217.4578,734.1248,130.9067
8501747196,241.8576,729.8109,137.8055
8501748477,280.1329,789.4105,145.3615
8501749614,223.0455,657.0526,147.9297
8501752537,302.9466,704.0233,141.9313
8501757823,284.2844,796.5864,151.4693
8501759468,226.9258,633.6301,173.9269
8501760044,307.9416,637.6008,160.6579
8501760101,395.5523,676.9756,161.3753
8501761304,334.1736,642.2357,155.6693
8501771100,237.4516,744.3094,190.1946
8501774807,283.811,628.6741,187.4816
8501775347,330.7485,754.1038,186.3699
8501775645,375.2359,667.9968,182.8881
8501777095,243.0547,631.065,195.2894
8501777387,237.9713,741.2662,197.5994
8501780939,335.7052,782.4429,193.8336
8501784813,523.8658,778.4196,3.6092
8501788302,493.3455,733.4489,12.1883
8501805444,420.9892,614.0464,65.4825
8501805653,461.9839,652.7963,57.7584
8501808600,594.3491,662.3689,58.1812
8501818002,591.8089,794.4392,65.7902
8501818904,470.0859,729.6013,82.7771
8501820092,563.0566,638.6824,82.0577
8501828145,545.3814,625.3358,93.3568
8501830720,558.2029,682.5074,96.698
8501837167,449.6715,799.9433,117.547
8501840584,492.3641,705.9339,126.8722
8501842936,530.5041,763.1174,125.6529
8501847508,499.9939,687.7745,149.8258
8501849712,414.9245,724.5284,151.8994
8501850064,494.9122,738.9759,146.7634
