#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and Vcir between 800.000000 and 1000.000000
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-06-26 10:36:28.592 CEST
#QUERYTIME 181362 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8500430504,85,430504,-1,807.6804,80.6007,10.7742,150.99,115.37,58.31,12358,1.07200001E14,1.10899998E14,0.7785,902.2,846.6,6.275,0.0278,0.2792,0.02,0.419,0.7568,0.5608,-0.4066,-0.3546,0.842,827,82,11,433973294
8500430691,85,430691,-1,909.2978,21.7172,1.1865,132.6,-36.32,-317.26,13649,1.18400001E14,1.22800002E14,0.8069,919.1,836.4,4.671,0.1099,0.3155,0.0343,0.4401,0.6535,0.5367,-0.4524,0.8915,-0.0246,931,22,1,422097376
8500432074,85,432074,-1,891.1844,129.0288,28.6016,-163.27,43.12,365.83,18024,1.563E14,1.60699993E14,0.8806,933.5,897.5,3.735,0.034,0.1968,0.0635,0.5033,0.6701,0.5745,-0.2126,-0.3387,0.9166,912,132,29,421220225
8500433440,85,433440,-1,922.7348,181.573,32.7678,264.74,-206.12,593.61,12810,1.11099999E14,1.12900002E14,0.7843,889.4,866.0,6.592,0.0236,0.2099,0.0225,0.4103,0.8067,0.6754,0.2077,0.8748,0.4378,944,185,33,421130164
8500435518,85,435518,-1,846.725,40.3472,12.7834,163.33,305.52,-352.05,15608,1.35400002E14,1.45700004E14,0.8533,956.5,843.4,3.495,0.0281,0.3622,0.0545,0.4824,0.7878,0.4416,0.1783,0.98,-0.0881,867,41,13,433349757
8500436991,85,436991,-1,935.0972,13.8627,22.3744,14.19,-444.39,-108.94,18366,1.59300001E14,1.75999992E14,0.9077,1009.0,899.7,4.054,0.0373,0.3527,0.0474,0.5039,0.8026,0.5985,-0.2727,0.9392,-0.2089,957,14,22,422111571
8500437362,85,437362,-1,948.5603,108.4007,28.4109,-18.61,501.4,416.66,14360,1.24500004E14,1.27899999E14,0.8172,884.0,846.3,4.405,0.0195,0.1663,0.0122,0.4476,0.5859,0.5506,-0.0784,0.8131,0.5768,971,111,29,421657493
8501043361,85,1043361,-1,914.9557,274.7875,174.0268,134.91,-271.04,490.11,22566,1.957E14,2.15599993E14,0.9744,1054.0,964.8,4.145,0.0905,0.313,0.0596,0.549,0.6084,0.4164,0.5514,-0.1565,0.8194,936,281,178,415434781
8501043483,85,1043483,-1,877.8566,366.5352,177.558,250.19,-206.69,294.17,10853,9.4119997E13,9.8939999E13,0.7544,871.3,801.9,6.09,0.0555,0.3065,0.0373,0.3963,0.8133,0.5994,0.9598,0.2676,0.0842,898,375,181,416023586
8501047284,85,1047284,-1,846.1507,266.5787,180.8568,11.13,-719.01,466.09,9441,8.1870004E13,9.6159998E13,0.7472,1003.0,822.9,9.743,0.0822,0.65,0.0494,0.3631,0.7306,0.5932,-0.2245,0.8343,-0.5034,866,272,185,414992925
8501047796,85,1047796,-1,931.7775,392.7254,184.3588,174.55,93.88,116.4,9102,7.8929998E13,7.9919996E13,0.7025,848.1,820.3,9.055,0.0238,0.247,0.0242,0.3598,0.8542,0.6419,-0.4374,0.0405,0.8984,954,402,188,405812692
